,resp.id,ques,alt,Price,Brand,Type of Wine,Percentage of Alcohol,Aging time of Wine,Age,Sex,Employment status,Education,Ethnicity,Social Platforms,Physical Activities,Choice
140,6,1,Option 1,Premium(15€-30€),Ferrari,Red wine,7 %,2 years,1,Female,Student,Bachelors,Italian,"Facebook,Instagram,Twitter,Linkden",Moderate,0
141,6,1,Option 2,Popular(10€-15€),Cantina Toblino,Rose wine,5.5 %,3 years,1,Female,Student,Bachelors,Italian,"Facebook,Instagram,Twitter,Linkden",Moderate,1
142,6,1,Option 3,Luxury(50€-100€),Cantina Toblino,Sparkling wine,12 %,4 years,1,Female,Student,Bachelors,Italian,"Facebook,Instagram,Twitter,Linkden",Moderate,0
143,6,1,Option 4,Value(3€-10€),Cantina Toblino,Red wine,12 %,2 years,1,Female,Student,Bachelors,Italian,"Facebook,Instagram,Twitter,Linkden",Moderate,0
144,6,2,Option 1,Value(3€-10€),Cantina Toblino,Sparkling wine,5.5 %,5 years,1,Female,Student,Bachelors,Italian,"Facebook,Instagram,Twitter,Linkden",Moderate,0
145,6,2,Option 2,Popular(10€-15€),Cantina Toblino,Red wine,7 %,3 years,1,Female,Student,Bachelors,Italian,"Facebook,Instagram,Twitter,Linkden",Moderate,0
146,6,2,Option 3,Value(3€-10€),Cavit,Red wine,5.5 %,3 years,1,Female,Student,Bachelors,Italian,"Facebook,Instagram,Twitter,Linkden",Moderate,1
147,6,2,Option 4,Value(3€-10€),Cavit,Red wine,18 %,3 years,1,Female,Student,Bachelors,Italian,"Facebook,Instagram,Twitter,Linkden",Moderate,0
148,6,3,Option 1,Premium(15€-30€),Cavit,White wine,5.5 %,5 years,1,Female,Student,Bachelors,Italian,"Facebook,Instagram,Twitter,Linkden",Moderate,0
149,6,3,Option 2,Premium(15€-30€),Cavit,Rose wine,12 %,4 years,1,Female,Student,Bachelors,Italian,"Facebook,Instagram,Twitter,Linkden",Moderate,0
150,6,3,Option 3,Value(3€-10€),Mezzacorona,Red wine,7 %,1 year ,1,Female,Student,Bachelors,Italian,"Facebook,Instagram,Twitter,Linkden",Moderate,1
151,6,3,Option 4,Premium(15€-30€),Ferrari,Sparkling wine,7 %,3 years,1,Female,Student,Bachelors,Italian,"Facebook,Instagram,Twitter,Linkden",Moderate,0
152,6,4,Option 1,Popular(10€-15€),Mezzacorona,Sparkling wine,12 %,1 year ,1,Female,Student,Bachelors,Italian,"Facebook,Instagram,Twitter,Linkden",Moderate,1
153,6,4,Option 2,Value(3€-10€),Cavit,White wine,18 %,4 years,1,Female,Student,Bachelors,Italian,"Facebook,Instagram,Twitter,Linkden",Moderate,0
154,6,4,Option 3,Premium(15€-30€),Cantina Toblino,Rose wine,5.5 %,2 years,1,Female,Student,Bachelors,Italian,"Facebook,Instagram,Twitter,Linkden",Moderate,0
155,6,4,Option 4,Premium(15€-30€),Cavit,White wine,7 %,5 years,1,Female,Student,Bachelors,Italian,"Facebook,Instagram,Twitter,Linkden",Moderate,0
